Replicate_Num,Training_Round,Simulation_Num,Mean_Game_Cooperation
1,1013760,70,0.9553571343421936
1,1013760,71,0.9330357313156128
1,1013760,72,0.7321428656578064
1,1013760,73,0.9866071343421936
1,1013760,74,0.2857142984867096
1,1013760,75,0.9107142686843872
1,1013760,76,0.8303571343421936
1,1013760,77,0.4375
1,1013760,78,0.8169642686843872
1,1013760,79,0.8571428656578064
1,1013760,80,0.7678571343421936
1,1013760,81,0.8303571343421936
1,1013760,82,0.7455357313156128
1,1013760,83,0.84375
1,1013760,84,0.8169642686843872
1,1013760,85,0.5892857313156128
1,1013760,86,0.7455357313156128
1,1013760,87,0.7901785969734192
1,1013760,88,0.8258928656578064
1,1013760,89,0.8303571343421936
1,1013760,90,0.8392857313156128
1,1013760,91,0.8616071343421936
1,1013760,92,0.3258928656578064
1,1013760,93,0.7857142686843872
1,1013760,94,0.8258928656578064
1,1013760,95,0.875
1,1013760,96,0.8303571343421936
1,1013760,97,0.8080357313156128
1,1013760,98,0.8482142686843872
1,1013760,99,0.71875
1,2386560,0,0.7767857313156128
1,2386560,1,0.1651785671710968
1,2386560,2,0.9508928656578064
1,2386560,3,0.9285714030265808
1,2386560,4,0.78125
1,2386560,5,0.9375
1,2386560,6,0.9196428656578064
1,2386560,7,0.5669642686843872
1,2386560,8,0.9017857313156128
1,2386560,9,0.8526785969734192
1,2386560,10,0.875
1,2386560,11,0.7366071343421936
1,2386560,12,0.6919642686843872
1,2386560,13,0.6875
1,2386560,14,0.8214285969734192
1,2386560,15,0.8035714030265808
1,2386560,16,0.7946428656578064
1,2386560,17,0.65625
1,2386560,18,0.8125
1,2386560,19,0.9598214030265808
1,2386560,20,0.84375
1,2386560,21,0.5491071343421936
1,2386560,22,0.5758928656578064
1,2386560,23,0.7455357313156128
1,2386560,24,0.6116071343421936
1,2386560,25,0.9330357313156128
1,2386560,26,0.7366071343421936
1,2386560,27,0.9285714030265808
1,2386560,28,0.8526785969734192
1,2386560,29,0.4910714328289032
1,2386560,30,0.8839285969734192
1,2386560,31,0.7008928656578064
1,2386560,32,0.8794642686843872
1,2386560,33,0.3928571343421936
1,2386560,34,0.8839285969734192
